code_name,SMILES
mol_441,Nn1cnc2ccc(Br)cc2c1=O
mol_442,Nc1nncc(-c2ccc(Br)cc2)n1
mol_443,OCc1cc(Br)c2c(c1)OCO2
mol_444,Brc1ccc(CNCc2ccccn2)cc1
mol_445,NC(=O)c1ccc(F)cc1Br
mol_446,Cc1ccccc1CN(C)C(=O)c1cc(Br)c[nH]1
mol_447,O=Cc1cc2cc(Br)ccc2o1
mol_448,FC(F)(F)c1cccnc1Oc1ccc(Br)cc1
mol_449,CC(=O)Cc1ccc(F)cc1Br
mol_450,CN1CCN(C(=O)c2ccc(Br)cc2)CC1
mol_451,NCC1(c2ccc(Br)cc2)CCOCC1
mol_452,CC(O)c1cnc(-c2ccc(Br)cc2)s1
mol_453,FC(F)n1ccnc1COc1ccc(Br)cc1
mol_454,Nn1cc(Br)cn1
mol_455,O=C1CCc2cc(Br)c(F)cc2N1
mol_456,Oc1nc2cc(Br)cnc2[nH]1
mol_457,CCOc1ccc(Br)c(F)c1
mol_458,CCOC(=O)Cc1ccc(Br)c(F)c1
mol_459,CN(C)CCOc1ccc(Br)cc1
mol_460,CCC(C)(C)c1ccc(Br)cc1
mol_461,Nc1nnc(-c2cc(F)ccc2Br)o1
mol_462,CS(=O)(=O)c1cc(Br)ccc1N
mol_463,OC(CC(F)(F)F)c1ccc(Br)cc1
mol_464,COCc1c(N)cccc1Br
mol_465,COC(=O)c1sc(-c2cccc(Br)c2)cc1N
mol_466,Fc1cc(Br)ccc1C(F)(F)F
mol_467,Brc1cccc(OCCn2ccnc2)c1
mol_468,CC(=O)c1ccc(Br)cc1O
mol_469,C[C@@H](O)c1ccc(F)c(Br)c1
mol_470,CCN(CC)S(=O)(=O)c1ccc(Oc2ccc(Br)cc2)c(N)c1
mol_471,O=C(C=Cc1ccccc1)c1ccc(Br)cc1
mol_472,Nc1cc(Br)ccc1NC1CC1
mol_473,COc1ccc(N)cc1S(=O)(=O)Nc1cc(C)ccc1Br
mol_474,Nc1sc2c(c1C(=O)c1ccc(Br)cc1)CCCC2
mol_475,Cc1nc2ccccc2c(=O)n1-c1ccc(Br)cc1
mol_476,Brc1ccc2cc[nH]c2c1
mol_477,CC(=O)Nc1ccc(NCc2ccc(Br)cc2)cc1
mol_478,Fc1ccc(Oc2ccncc2)c(Br)c1
mol_479,CC(C)(C#N)c1ccc(Br)cc1
mol_480,FC(F)(F)Oc1ccccc1Br
mol_481,COc1ccc(Br)c(C#N)c1
mol_482,O=Cc1cc(Br)c2c(c1)OCCCO2
mol_483,Brc1cccc2nsnc12
mol_484,S=c1[nH][nH]c(=Nc2cccc(Br)c2)s1
mol_485,CCOc1ccc(Br)cc1N
mol_486,O=C1COc2ccc(Br)cc2N1
mol_487,CNCc1ccc(Br)s1
mol_488,CCOC(=O)c1ccc(N)c(Br)c1
mol_489,N#CCc1ccc(Br)s1
mol_490,Nc1ccnn1Cc1cc(Br)cs1
mol_491,CCOc1ccc(Br)cc1OCC
mol_492,Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O
mol_493,Brc1ccc(-c2ccccc2)cc1
mol_494,N#Cc1ccc(Br)cn1
